sizeOfCloseNeighborhood, queryLevel, queryHeight, isCorrectParent, isCorrectChild, isCorrectParentPPR, isCorrectChildPPR, cos_sim_query_pred_child, cos_sim_query_pred_parent, cos_sim_query_pred_child_ppr, cos_sim_query_pred_parent_ppr, graph_distance_query_pred_child, graph_distance_query_pred_parent, graph_distance_query_pred_child_ppr, graph_distance_query_pred_parent_ppr
8, 6, 0, False, True, False, True, N/A, 1.0000001192092896, N/A, 0.8518295884132385, N/A, 6, N/A, 6
8, 6, 0, False, False, False, False, N/A, 0.8357112407684326, N/A, 0.8357113003730774, N/A, 5, N/A, 5
8, 6, 0, False, True, False, True, N/A, 0.7057392597198486, N/A, 0.7057393193244934, N/A, 5, N/A, 5
451, 3, 1, True, True, True, True, N/A, 0.8829420804977417, N/A, 0.8893803954124451, N/A, 4, N/A, 4
3, 4, 0, False, True, False, True, N/A, 0.7482717037200928, N/A, 0.7482717037200928, N/A, 4, N/A, 4
17, 5, 1, True, False, True, False, N/A, 0.8112996816635132, N/A, 0.7759924530982971, N/A, 6, N/A, 6
16, 6, 0, False, True, False, True, N/A, 0.8455952405929565, N/A, 0.8455953001976013, N/A, 8, N/A, 8
16, 6, 0, False, False, False, False, N/A, 0.821448564529419, N/A, 0.8214486241340637, N/A, 9, N/A, 9
16, 6, 0, False, True, False, True, N/A, 0.7768486738204956, N/A, 0.7873133420944214, N/A, 7, N/A, 7
16, 6, 0, False, True, True, True, N/A, 0.7105579376220703, N/A, 0.7409616112709045, N/A, 9, N/A, 8
16, 6, 0, False, True, False, True, N/A, 0.7137817740440369, N/A, 0.7370635271072388, N/A, 7, N/A, 7
16, 6, 0, False, True, False, True, N/A, 0.6663843393325806, N/A, 0.648500382900238, N/A, 8, N/A, 8
16, 6, 0, False, False, False, False, N/A, 0.9037951231002808, N/A, 0.9075189232826233, N/A, 9, N/A, 9
16, 6, 0, False, False, False, False, N/A, 1.0000001192092896, N/A, 0.6573559045791626, N/A, 9, N/A, 7
16, 6, 0, False, True, True, True, N/A, 0.8129572868347168, N/A, 0.7239679098129272, N/A, 8, N/A, 7
16, 6, 0, False, True, False, True, N/A, 0.7025341987609863, N/A, 0.7065657377243042, N/A, 8, N/A, 8
16, 6, 0, False, True, False, True, N/A, 0.6959832906723022, N/A, 0.6959834098815918, N/A, 7, N/A, 7
16, 6, 0, False, True, False, True, N/A, 0.8182498216629028, N/A, 0.8406223654747009, N/A, 7, N/A, 7
1774, 3, 1, False, True, False, True, N/A, 0.6375265121459961, N/A, 0.6656635999679565, N/A, 5, N/A, 4
3, 4, 0, False, False, False, False, N/A, 0.8862999677658081, N/A, 0.8862999677658081, N/A, 3, N/A, 3
169, 3, 1, False, True, False, True, N/A, 0.6888316869735718, N/A, 0.7033657431602478, N/A, 6, N/A, 5
7, 4, 0, False, True, False, True, N/A, 0.7682843208312988, N/A, 0.7682843208312988, N/A, 6, N/A, 6
7, 4, 0, False, False, False, False, N/A, 0.8644265532493591, N/A, 0.8644264936447144, N/A, 4, N/A, 4
7, 4, 0, False, True, False, True, N/A, 0.7392857074737549, N/A, 0.7629705667495728, N/A, 5, N/A, 5
7, 4, 0, False, False, False, False, N/A, 1.0, N/A, 1.0, N/A, 3, N/A, 3
7, 4, 0, False, True, False, True, N/A, 0.516632080078125, N/A, 0.5524780750274658, N/A, 6, N/A, 5
6, 4, 1, False, True, False, True, N/A, 0.6595789194107056, N/A, 0.6616549491882324, N/A, 6, N/A, 4
4, 5, 0, False, True, False, True, N/A, 0.7320606708526611, N/A, 0.7031857967376709, N/A, 5, N/A, 5
8, 3, 0, False, True, False, True, N/A, 0.6311901211738586, N/A, 0.6438573598861694, N/A, 5, N/A, 5
615, 3, 0, False, True, False, True, N/A, 0.7937892079353333, N/A, 0.7234063744544983, N/A, 5, N/A, 4
50, 3, 0, False, True, False, True, N/A, 0.6174142956733704, N/A, 0.6158814430236816, N/A, 5, N/A, 4
39, 3, 0, False, True, True, True, N/A, 0.6709482669830322, N/A, 0.6717784404754639, N/A, 3, N/A, 1
16, 3, 1, False, True, False, True, N/A, 0.6150355339050293, N/A, 0.6196222305297852, N/A, 5, N/A, 4
615, 3, 0, False, True, False, True, N/A, 0.8171027302742004, N/A, 0.8171027302742004, N/A, 2, N/A, 2
618, 3, 2, False, True, False, True, N/A, 0.6538146734237671, N/A, 0.6538146138191223, N/A, 3, N/A, 3
50, 3, 0, True, True, True, True, N/A, 0.776715874671936, N/A, 0.7599160671234131, N/A, 4, N/A, 4
3, 3, 0, False, True, False, True, N/A, 0.8181668519973755, N/A, 0.8181668519973755, N/A, 2, N/A, 2
615, 3, 0, False, True, True, True, N/A, 0.6675405502319336, N/A, 0.602537989616394, N/A, 3, N/A, 2
615, 3, 0, False, True, False, True, N/A, 0.6963908672332764, N/A, 0.7129099369049072, N/A, 3, N/A, 3
615, 3, 0, False, True, False, True, N/A, 0.7748229503631592, N/A, 0.7833024263381958, N/A, 5, N/A, 4
6, 3, 0, False, True, False, True, N/A, 0.7702859044075012, N/A, 0.7702858448028564, N/A, 2, N/A, 2
7, 3, 0, False, True, False, True, N/A, 0.8662574887275696, N/A, 0.8575181365013123, N/A, 4, N/A, 4
15, 3, 0, False, False, False, False, N/A, 0.8972740173339844, N/A, 0.8999271392822266, N/A, 5, N/A, 5
21, 3, 0, False, True, False, True, N/A, 0.8175317049026489, N/A, 0.8194662928581238, N/A, 4, N/A, 4
12, 3, 0, False, True, False, True, N/A, 0.8277087807655334, N/A, 0.8277087807655334, N/A, 3, N/A, 3
615, 3, 0, True, False, True, False, N/A, 0.8849076628684998, N/A, 0.8890094757080078, N/A, 1, N/A, 1
15, 3, 0, False, True, False, True, N/A, 0.8318850994110107, N/A, 0.7977001070976257, N/A, 4, N/A, 4
3, 3, 0, False, False, False, False, N/A, 0.7817609310150146, N/A, 0.7817609310150146, N/A, 3, N/A, 3
3, 4, 0, True, True, True, True, N/A, 0.8750865459442139, N/A, 0.8626478314399719, N/A, 5, N/A, 5
7, 4, 1, False, True, False, True, N/A, 0.7009568214416504, N/A, 0.7009568214416504, N/A, 5, N/A, 5
8, 4, 1, False, True, False, True, N/A, 0.7910683155059814, N/A, 0.7962592840194702, N/A, 5, N/A, 5
616, 3, 1, False, True, False, True, N/A, 0.6790976524353027, N/A, 0.6790975332260132, N/A, 2, N/A, 2
617, 3, 1, False, True, False, True, N/A, 0.6773889064788818, N/A, 0.6773889064788818, N/A, 4, N/A, 4
615, 3, 0, False, True, False, True, N/A, 0.6917590498924255, N/A, 0.7097340226173401, N/A, 4, N/A, 5
165, 3, 1, True, True, True, True, N/A, 0.8525905609130859, N/A, 0.8525400757789612, N/A, 3, N/A, 3
3, 4, 0, True, True, True, True, N/A, 0.8250939846038818, N/A, 0.8250939846038818, N/A, 3, N/A, 3
451, 3, 1, True, False, True, False, N/A, 0.9274687767028809, N/A, 0.933059811592102, N/A, 4, N/A, 4
3, 4, 0, False, True, False, True, N/A, 0.6646648645401001, N/A, 0.6387225389480591, N/A, 6, N/A, 6
255, 3, 1, False, False, False, False, N/A, 0.9426006078720093, N/A, 0.9259389042854309, N/A, 4, N/A, 4
3, 4, 0, True, True, False, True, N/A, 0.879787802696228, N/A, 0.8639134168624878, N/A, 5, N/A, 5
51, 4, 2, False, True, False, True, N/A, 0.7732473015785217, N/A, 0.7732473611831665, N/A, 5, N/A, 5
12, 5, 1, False, True, False, True, N/A, 0.7268252372741699, N/A, 0.7268252372741699, N/A, 6, N/A, 6
12, 5, 1, False, True, False, True, N/A, 0.6684930920600891, N/A, 0.6684931516647339, N/A, 5, N/A, 5
10, 5, 0, False, True, False, True, N/A, 0.647111177444458, N/A, 0.647111177444458, N/A, 7, N/A, 7
10, 5, 0, False, True, False, True, N/A, 0.7066653966903687, N/A, 0.7066653966903687, N/A, 5, N/A, 5
10, 5, 0, False, True, False, True, N/A, 0.678602933883667, N/A, 0.6786028742790222, N/A, 7, N/A, 7
10, 5, 0, False, True, False, True, N/A, 0.8975574970245361, N/A, 0.8975575566291809, N/A, 8, N/A, 8
10, 5, 0, True, True, False, True, N/A, 0.8345810174942017, N/A, 0.7720313668251038, N/A, 5, N/A, 5
6, 6, 0, False, False, False, False, N/A, 0.7866442203521729, N/A, 0.7866443395614624, N/A, 7, N/A, 7
6, 6, 0, False, True, False, True, N/A, 0.6892834901809692, N/A, 0.7192726731300354, N/A, 8, N/A, 7
6, 6, 0, False, True, False, True, N/A, 0.8227449655532837, N/A, 0.7928715944290161, N/A, 6, N/A, 6
4, 4, 0, False, True, False, True, N/A, 0.692803144454956, N/A, 0.6757965087890625, N/A, 5, N/A, 5
5, 4, 0, False, True, False, True, N/A, 0.690434455871582, N/A, 0.6987873315811157, N/A, 3, N/A, 3
18, 4, 2, False, False, False, False, N/A, 0.9024627208709717, N/A, 0.9024627208709717, N/A, 5, N/A, 5
9, 5, 1, False, True, False, True, N/A, 0.6930702924728394, N/A, 0.6606100797653198, N/A, 6, N/A, 6
5, 5, 0, False, False, False, False, N/A, 0.7951862812042236, N/A, 0.7951862812042236, N/A, 6, N/A, 6
8, 6, 0, True, False, True, False, N/A, 0.7477905750274658, N/A, 0.7682805061340332, N/A, 8, N/A, 8
8, 6, 0, False, True, False, True, N/A, 0.7375165224075317, N/A, 0.7766739130020142, N/A, 7, N/A, 7
8, 6, 0, False, True, False, True, N/A, 0.7226213216781616, N/A, 0.7383824586868286, N/A, 6, N/A, 6
8, 6, 0, False, True, False, True, N/A, 0.839809238910675, N/A, 0.8398092985153198, N/A, 8, N/A, 8
17, 4, 1, False, True, False, True, N/A, 1.0, N/A, 0.9277523756027222, N/A, 5, N/A, 6
4, 5, 0, False, True, True, True, N/A, 0.6671082377433777, N/A, 0.6798056960105896, N/A, 6, N/A, 5
232, 3, 1, True, True, False, True, N/A, 0.818136990070343, N/A, 0.8162970542907715, N/A, 4, N/A, 4
3, 4, 0, False, True, False, True, N/A, 0.869238018989563, N/A, 0.869238018989563, N/A, 5, N/A, 5
1097, 3, 1, False, True, False, True, N/A, 0.76822829246521, N/A, 0.76822829246521, N/A, 4, N/A, 4
4, 4, 0, False, True, False, True, N/A, 0.8455368280410767, N/A, 0.8455368876457214, N/A, 5, N/A, 5
4, 4, 0, False, True, False, True, N/A, 0.7065591812133789, N/A, 0.7065591812133789, N/A, 7, N/A, 7
61, 4, 2, False, False, False, False, N/A, 0.8034782409667969, N/A, 0.7884578704833984, N/A, 5, N/A, 6
16, 5, 0, False, True, False, True, N/A, 0.7341131567955017, N/A, 0.7321397066116333, N/A, 5, N/A, 5
16, 5, 0, False, True, False, True, N/A, 0.718384861946106, N/A, 0.7260019779205322, N/A, 5, N/A, 5
17, 5, 1, False, True, False, True, N/A, 0.7878661155700684, N/A, 0.8010532855987549, N/A, 7, N/A, 7
16, 5, 0, True, True, True, True, N/A, 0.6288272142410278, N/A, 0.6491692662239075, N/A, 6, N/A, 6
16, 5, 0, True, True, True, True, N/A, 0.8627756834030151, N/A, 0.8708537817001343, N/A, 5, N/A, 5
16, 5, 0, True, False, True, False, N/A, 0.811053454875946, N/A, 0.8242040872573853, N/A, 5, N/A, 5
16, 5, 0, False, True, False, True, N/A, 0.7306544780731201, N/A, 0.7306544780731201, N/A, 8, N/A, 8
16, 5, 0, False, True, False, True, N/A, 0.759872317314148, N/A, 0.700499415397644, N/A, 6, N/A, 5
17, 5, 1, True, True, True, True, N/A, 0.7136255502700806, N/A, 0.7170202136039734, N/A, 6, N/A, 6
16, 5, 0, False, True, False, True, N/A, 0.7436951398849487, N/A, 0.7635466456413269, N/A, 5, N/A, 5
16, 5, 0, True, True, True, True, N/A, 0.6081589460372925, N/A, 0.6081589460372925, N/A, 3, N/A, 3
17, 5, 1, True, True, True, True, N/A, 0.6966679096221924, N/A, 0.6224204301834106, N/A, 7, N/A, 7
16, 5, 0, False, True, False, True, N/A, 0.5918148756027222, N/A, 0.5918148159980774, N/A, 5, N/A, 5
5, 6, 0, False, True, False, True, N/A, 0.7018939256668091, N/A, 0.6901708841323853, N/A, 6, N/A, 6
5, 6, 0, True, False, True, False, N/A, 0.891984224319458, N/A, 0.8755500316619873, N/A, 7, N/A, 7
5, 6, 0, False, True, False, True, N/A, 0.7528669834136963, N/A, 0.7528669238090515, N/A, 6, N/A, 6
257, 3, 1, False, True, False, True, N/A, 0.6579243540763855, N/A, 0.6740974187850952, N/A, 4, N/A, 4
